Dates,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-03-04,Electronic City,Hosur Road,17452,65.25,1.39,65.66,85.85,0,84.90,69.19,96.45,91.03,92,Overcast,No
2022-03-04,M.G. Road,Trinity Circle,52401,32.86,1.50,100.00,100.00,2,154.80,48.70,70.13,97.78,92,Clear,No
2022-03-04,Jayanagar,South End Circle,8120,50.12,1.31,22.07,39.77,0,66.24,70.12,65.06,78.28,182,Overcast,No
2022-03-04,Hebbal,Hebbal Flyover,32927,64.93,1.50,100.00,100.00,0,115.85,67.48,77.42,53.62,109,Clear,No
2022-03-05,Indiranagar,100 Feet Road,13161,40.63,1.15,45.90,66.87,0,76.32,73.31,80.13,73.24,185,Overcast,No
2022-03-05,Indiranagar,CMH Road,37812,30.90,1.50,100.00,100.00,0,125.62,78.29,94.73,94.66,114,Rain,No
2022-03-05,Whitefield,Marathahalli Bridge,30619,35.80,1.50,100.00,100.00,1,111.24,21.12,67.83,98.65,88,Clear,No
2022-03-05,Whitefield,ITPL Main Road,21950,52.42,1.12,81.93,100.00,1,93.90,39.28,82.37,59.37,98,Clear,No
2022-03-05,Koramangala,Sarjapur Road,58269,56.86,1.50,100.00,100.00,2,166.54,34.11,87.75,87.98,93,Clear,No
2022-03-05,M.G. Road,Trinity Circle,51304,48.39,1.50,100.00,100.00,0,152.61,46.68,80.20,76.26,89,Clear,No
2022-03-05,M.G. Road,Anil Kumble Circle,42365,37.29,1.50,100.00,100.00,2,134.73,13.50,79.49,67.77,92,Fog,No
2022-03-05,Jayanagar,Jayanagar 4th Block,30093,45.58,1.50,95.24,100.00,1,110.19,52.85,66.66,76.43,103,Clear,Yes
2022-03-05,Jayanagar,South End Circle,30081,28.69,1.50,98.90,100.00,2,110.16,18.51,82.24,66.35,98,Clear,No
2022-03-06,Indiranagar,100 Feet Road,40234,20.00,1.50,100.00,100.00,0,130.47,72.45,61.23,87.42,78,Clear,No
2022-03-06,Indiranagar,CMH Road,33106,34.49,1.50,100.00,100.00,5,116.21,21.15,77.42,70.09,102,Fog,No
2022-03-06,Whitefield,Marathahalli Bridge,31359,32.57,1.50,95.46,100.00,4,112.72,69.18,71.87,67.71,87,Clear,No
2022-03-06,Whitefield,ITPL Main Road,18030,48.32,1.03,68.01,93.18,0,86.06,64.37,85.03,70.46,92,Fog,No
2022-03-06,Koramangala,Sony World Junction,13610,43.82,1.08,48.59,72.16,0,77.22,24.54,85.95,93.56,211,Clear,No
2022-03-06,Koramangala,Sarjapur Road,30499,20.00,1.50,100.00,100.00,0,111.00,22.10,74.31,64.54,103,Windy,No
2022-03-06,M.G. Road,Trinity Circle,43890,38.70,1.50,100.00,100.00,3,137.78,62.56,70.62,78.59,115,Overcast,No
2022-03-06,M.G. Road,Anil Kumble Circle,53773,36.82,1.50,100.00,100.00,3,157.55,47.72,77.84,78.24,99,Overcast,No
2022-03-06,Jayanagar,Jayanagar 4th Block,16843,47.95,1.36,50.44,81.26,0,83.69,10.98,90.87,93.75,103,Clear,No
2022-03-06,Hebbal,Hebbal Flyover,24661,39.67,1.18,73.63,100.00,2,99.32,76.86,67.72,94.14,99,Clear,No
2022-03-06,Hebbal,Ballari Road,23539,57.48,1.22,81.71,100.00,3,97.08,78.08,61.50,64.26,90,Clear,No
2022-03-06,Yeshwanthpur,Yeshwanthpur Circle,22012,51.76,1.16,70.82,100.00,1,94.02,35.49,94.09,87.83,103,Clear,No
2022-03-07,Indiranagar,100 Feet Road,24956,39.23,1.09,83.72,100.00,4,99.91,39.85,84.25,77.89,104,Rain,No
2022-03-07,Indiranagar,CMH Road,23799,45.46,1.16,83.43,100.00,3,97.60,43.77,83.89,73.62,106,Clear,No
2022-03-07,Whitefield,Marathahalli Bridge,17558,51.59,1.08,67.71,87.81,2,85.12,15.95,68.80,50.44,107,Fog,No
2022-03-07,Koramangala,Sony World Junction,28003,20.00,1.50,90.32,100.00,0,106.01,34.59,93.49,53.34,84,Clear,No
2022-03-07,Koramangala,Sarjapur Road,43576,38.20,1.50,100.00,100.00,3,137.15,40.08,79.76,52.76,124,Rain,No
2022-03-07,Electronic City,Hosur Road,24325,56.79,1.09,73.52,100.00,1,98.65,77.65,83.00,94.50,104,Overcast,No
2022-03-07,M.G. Road,Trinity Circle,26533,45.85,1.50,96.23,100.00,0,103.07,45.07,75.00,81.29,109,Clear,No
2022-03-07,M.G. Road,Anil Kumble Circle,54192,36.29,1.50,100.00,100.00,1,158.38,77.87,61.55,87.68,101,Clear,No
2022-03-07,Jayanagar,Jayanagar 4th Block,17468,50.57,1.18,59.10,83.34,1,84.94,15.65,75.49,80.01,100,Clear,No
2022-03-07,Hebbal,Hebbal Flyover,45091,20.00,1.50,100.00,100.00,1,140.18,31.87,80.58,79.44,109,Rain,No
2022-03-07,Hebbal,Ballari Road,28622,40.82,1.50,85.52,100.00,3,107.24,17.45,79.81,80.46,93,Clear,No
2022-03-07,Yeshwanthpur,Yeshwanthpur Circle,22638,40.34,1.17,77.00,100.00,2,95.28,64.26,77.32,59.60,116,Clear,Yes
2022-03-08,Indiranagar,100 Feet Road,21726,32.25,1.27,63.58,100.00,0,93.45,79.98,66.86,88.58,91,Overcast,No
2022-03-08,Indiranagar,CMH Road,39430,36.85,1.50,100.00,100.00,3,128.86,20.47,83.08,82.87,90,Overcast,No
2022-03-08,Koramangala,Sony World Junction,58801,51.85,1.50,100.00,100.00,3,167.60,24.97,61.51,52.15,113,Rain,No
2022-03-08,M.G. Road,Trinity Circle,47772,43.65,1.50,100.00,100.00,1,145.54,32.03,62.09,97.43,104,Rain,No
2022-03-08,M.G. Road,Anil Kumble Circle,40531,37.02,1.50,100.00,100.00,1,131.06,73.48,79.38,73.02,102,Clear,No
2022-03-08,Jayanagar,Jayanagar 4th Block,19696,51.48,1.38,67.82,96.03,2,89.39,58.69,96.97,85.62,96,Clear,No
2022-03-08,Jayanagar,South End Circle,20215,50.67,1.40,64.31,100.00,1,90.43,60.24,90.20,54.45,112,Clear,Yes
2022-03-08,Hebbal,Hebbal Flyover,26315,44.07,1.50,83.07,100.00,1,102.63,31.02,81.24,70.41,93,Overcast,No
2022-03-08,Hebbal,Ballari Road,22944,52.95,1.16,84.58,100.00,4,95.89,33.26,78.82,65.73,106,Fog,No
2022-03-08,Yeshwanthpur,Yeshwanthpur Circle,25375,47.69,1.50,89.27,100.00,2,100.75,55.90,85.66,60.47,102,Overcast,No
2022-03-09,Indiranagar,100 Feet Road,34407,22.85,1.50,100.00,100.00,3,118.81,69.59,91.03,64.41,95,Clear,No
2022-03-09,Indiranagar,CMH Road,50717,27.90,1.50,100.00,100.00,3,151.43,11.56,84.38,68.39,97,Clear,No
2022-03-09,Whitefield,Marathahalli Bridge,20497,53.11,1.13,75.02,100.00,2,90.99,24.61,79.43,54.30,112,Overcast,No
2022-03-09,Koramangala,Sony World Junction,45116,36.30,1.50,100.00,100.00,5,140.23,56.71,71.34,82.00,103,Clear,No
2022-03-09,Koramangala,Sarjapur Road,29026,44.44,1.50,96.51,100.00,1,108.05,52.45,90.21,95.08,117,Clear,Yes
2022-03-09,Electronic City,Silk Board Junction,16968,46.21,1.33,51.53,84.16,1,83.94,40.89,62.63,70.07,97,Fog,No
2022-03-09,M.G. Road,Trinity Circle,40414,47.72,1.50,100.00,100.00,1,130.83,47.04,95.05,73.12,93,Overcast,No
2022-03-09,M.G. Road,Anil Kumble Circle,25710,50.42,1.50,82.72,100.00,5,101.42,76.67,61.00,68.84,115,Clear,No
2022-03-09,Jayanagar,South End Circle,27928,42.02,1.50,87.18,100.00,1,105.86,16.30,82.54,55.69,87,Clear,No
2022-03-09,Yeshwanthpur,Yeshwanthpur Circle,13553,47.82,1.38,42.02,67.17,1,77.11,32.26,82.15,86.54,165,Clear,No
2022-03-10,Indiranagar,100 Feet Road,36665,21.17,1.50,100.00,100.00,0,123.33,76.80,65.69,85.42,81,Clear,No
2022-03-10,Koramangala,Sony World Junction,46429,33.47,1.50,100.00,100.00,1,142.86,76.16,72.55,72.13,86,Clear,No
2022-03-10,Koramangala,Sarjapur Road,56997,40.14,1.50,100.00,100.00,2,163.99,37.90,66.80,69.15,113,Windy,No
2022-03-10,Electronic City,Hosur Road,11400,55.13,1.00,33.48,57.98,1,72.80,17.74,96.88,87.56,204,Clear,No
2022-03-10,M.G. Road,Trinity Circle,39921,34.49,1.50,100.00,100.00,3,129.84,74.23,78.00,87.22,99,Clear,No
2022-03-10,M.G. Road,Anil Kumble Circle,35632,44.73,1.50,100.00,100.00,3,121.26,21.89,86.10,80.60,109,Fog,No
2022-03-10,Jayanagar,Jayanagar 4th Block,26533,23.44,1.50,96.07,100.00,2,103.07,50.68,80.24,69.93,86,Clear,Yes
2022-03-10,Jayanagar,South End Circle,17611,51.66,1.30,59.31,90.10,0,85.22,75.93,81.20,91.57,96,Rain,Yes
2022-03-10,Hebbal,Hebbal Flyover,20344,45.46,1.19,74.16,100.00,4,90.69,48.15,68.96,72.20,99,Overcast,No
2022-03-10,Hebbal,Ballari Road,41689,23.71,1.50,100.00,100.00,1,133.38,39.66,72.29,95.25,113,Clear,No
2022-03-10,Yeshwanthpur,Yeshwanthpur Circle,17905,51.68,1.34,50.86,86.68,1,85.81,59.21,67.31,80.49,107,Overcast,No
2022-03-10,Yeshwanthpur,Tumkur Road,17412,47.74,1.16,54.91,86.07,1,84.82,75.82,71.75,70.79,109,Clear,Yes
2022-03-11,Indiranagar,100 Feet Road,24681,52.44,1.14,83.14,100.00,2,99.36,33.47,61.68,79.91,112,Fog,No
2022-03-11,Indiranagar,CMH Road,25517,39.48,1.50,88.77,100.00,1,101.03,49.93,90.26,55.53,111,Rain,No
2022-03-11,Whitefield,Marathahalli Bridge,30896,25.36,1.50,100.00,100.00,4,111.79,66.70,79.25,72.53,98,Overcast,No
2022-03-11,Koramangala,Sony World Junction,46711,44.94,1.50,100.00,100.00,2,143.42,69.40,76.56,62.68,113,Overcast,No
2022-03-11,Koramangala,Sarjapur Road,45746,31.09,1.50,100.00,100.00,0,141.49,30.07,91.26,57.58,104,Rain,No
2022-03-11,Electronic City,Hosur Road,12625,50.74,1.26,45.36,62.27,0,75.25,64.91,87.15,73.64,221,Clear,No
2022-03-11,M.G. Road,Trinity Circle,27262,23.49,1.50,88.57,100.00,4,104.52,21.70,61.34,69.29,115,Clear,No
2022-03-11,M.G. Road,Anil Kumble Circle,38486,34.34,1.50,100.00,100.00,2,126.97,13.49,64.62,53.57,108,Clear,No
2022-03-11,Yeshwanthpur,Yeshwanthpur Circle,17074,59.14,1.19,54.93,90.23,1,84.15,60.91,70.78,55.01,96,Clear,No
2022-03-11,Yeshwanthpur,Tumkur Road,21741,53.87,1.38,82.45,100.00,4,93.48,64.72,74.21,78.71,111,Clear,No
2022-03-12,Indiranagar,100 Feet Road,22597,34.68,1.25,76.01,100.00,1,95.19,45.18,70.85,97.38,99,Fog,No
2022-03-12,Indiranagar,CMH Road,26937,38.82,1.50,98.35,100.00,3,103.87,16.29,65.28,74.78,85,Clear,No
2022-03-12,Koramangala,Sony World Junction,42580,51.77,1.50,100.00,100.00,0,135.16,58.68,70.11,65.57,86,Clear,No
2022-03-12,Koramangala,Sarjapur Road,46833,27.34,1.50,100.00,100.00,2,143.67,43.27,77.97,85.43,104,Fog,No
2022-03-12,M.G. Road,Trinity Circle,50301,38.98,1.50,100.00,100.00,1,150.60,47.33,94.32,86.84,91,Clear,No
2022-03-12,Jayanagar,South End Circle,27486,25.36,1.50,86.59,100.00,2,104.97,10.72,60.89,50.42,86,Clear,No
2022-03-12,Hebbal,Hebbal Flyover,22266,46.44,1.27,70.14,100.00,6,94.53,54.91,92.73,50.28,99,Clear,No
2022-03-12,Hebbal,Ballari Road,19072,34.02,1.15,73.44,100.00,0,88.14,60.82,62.07,51.51,120,Clear,No
2022-03-13,Indiranagar,100 Feet Road,37514,32.72,1.50,100.00,100.00,3,125.03,75.52,66.59,52.11,99,Fog,No
2022-03-13,Indiranagar,CMH Road,26793,39.45,1.50,81.18,100.00,0,103.59,51.56,95.47,83.53,115,Clear,No
2022-03-13,Whitefield,Marathahalli Bridge,33299,39.80,1.50,100.00,100.00,3,116.60,73.74,60.59,90.46,120,Clear,Yes
2022-03-13,Whitefield,ITPL Main Road,19043,34.98,1.25,69.99,99.58,1,88.09,54.44,94.25,74.53,91,Clear,No
2022-03-13,Koramangala,Sony World Junction,31063,20.00,1.50,100.00,100.00,0,112.13,18.68,79.97,66.85,94,Overcast,No
2022-03-13,Koramangala,Sarjapur Road,16686,38.10,1.30,61.22,83.21,0,83.37,10.77,97.06,80.17,92,Overcast,No
2022-03-13,Electronic City,Hosur Road,26860,31.07,1.50,79.62,100.00,1,103.72,58.29,82.62,53.87,89,Clear,No
2022-03-13,M.G. Road,Trinity Circle,40676,30.95,1.50,100.00,100.00,1,131.35,48.44,88.87,99.67,87,Rain,No
2022-03-14,Indiranagar,100 Feet Road,20041,65.27,1.35,58.80,97.78,1,90.08,32.45,75.49,81.13,98,Clear,No
2022-03-14,Indiranagar,CMH Road,11027,45.80,1.16,38.54,52.89,0,72.05,64.23,97.87,55.02,192,Clear,No
2022-03-14,Whitefield,Marathahalli Bridge,16322,60.37,1.37,52.98,85.31,0,82.64,78.55,98.39,66.46,114,Clear,No
2022-03-14,Whitefield,ITPL Main Road,37734,20.00,1.50,100.00,100.00,1,125.47,62.44,82.61,72.39,94,Clear,No
2022-03-14,Koramangala,Sony World Junction,53718,37.61,1.50,100.00,100.00,1,157.44,35.04,93.78,72.66,107,Clear,No
2022-03-14,Electronic City,Hosur Road,14352,31.68,1.30,52.83,71.86,1,78.70,18.67,82.58,97.62,213,Rain,No
2022-03-14,M.G. Road,Trinity Circle,50385,43.29,1.50,100.00,100.00,2,150.77,71.27,67.57,77.39,102,Clear,No
2022-03-14,M.G. Road,Anil Kumble Circle,28059,54.82,1.50,95.77,100.00,1,106.12,19.59,93.96,80.82,90,Overcast,No
2022-03-14,Jayanagar,South End Circle,19640,40.32,1.30,61.41,97.47,0,89.28,17.77,88.91,63.38,82,Overcast,No
2022-03-14,Hebbal,Ballari Road,31082,35.72,1.50,100.00,100.00,3,112.16,52.94,70.90,63.71,86,Clear,No
2022-03-14,Yeshwanthpur,Tumkur Road,29880,36.03,1.50,100.00,100.00,2,109.76,11.04,65.18,62.58,98,Clear,No
2022-03-15,Indiranagar,100 Feet Road,21835,41.61,1.15,75.35,100.00,1,93.67,52.98,94.43,87.66,101,Clear,No
2022-03-15,Indiranagar,CMH Road,53009,46.36,1.50,100.00,100.00,1,156.02,29.45,95.61,77.50,97,Fog,No
2022-03-15,Koramangala,Sony World Junction,39924,42.96,1.50,100.00,100.00,1,129.85,57.57,72.62,89.63,87,Clear,Yes
2022-03-15,M.G. Road,Trinity Circle,39777,35.05,1.50,100.00,100.00,3,129.55,32.98,63.01,53.67,90,Fog,No
2022-03-15,M.G. Road,Anil Kumble Circle,11298,48.74,1.25,47.20,52.60,0,72.60,43.12,98.74,88.59,221,Windy,No
2022-03-15,Jayanagar,Jayanagar 4th Block,35353,32.80,1.50,100.00,100.00,5,120.71,49.28,81.34,91.17,108,Fog,No
2022-03-15,Jayanagar,South End Circle,16150,47.69,1.37,45.39,85.05,1,82.30,37.35,89.63,80.07,105,Clear,No
2022-03-15,Hebbal,Hebbal Flyover,32963,27.24,1.50,100.00,100.00,0,115.93,10.80,77.10,70.52,92,Clear,No
2022-03-15,Hebbal,Ballari Road,20247,51.15,1.14,70.00,100.00,2,90.49,22.07,88.79,80.72,105,Clear,No
2022-03-15,Yeshwanthpur,Yeshwanthpur Circle,20804,49.48,1.39,62.15,100.00,0,91.61,65.31,91.35,55.63,116,Rain,No
2022-03-16,Indiranagar,CMH Road,24004,31.25,1.32,73.02,100.00,1,98.01,56.33,78.68,90.60,88,Clear,No
2022-03-16,Koramangala,Sony World Junction,27079,36.88,1.50,96.49,100.00,1,104.16,64.24,73.49,81.66,78,Clear,No
2022-03-16,Koramangala,Sarjapur Road,26713,21.93,1.50,84.74,100.00,1,103.43,60.03,81.09,95.04,94,Clear,No
2022-03-16,Electronic City,Silk Board Junction,19698,44.40,1.10,69.31,100.00,1,89.40,67.92,74.40,80.01,88,Clear,No
2022-03-16,M.G. Road,Trinity Circle,38194,38.57,1.50,100.00,100.00,0,126.39,17.85,82.93,89.05,96,Clear,No
2022-03-16,M.G. Road,Anil Kumble Circle,38531,47.57,1.50,100.00,100.00,2,127.06,72.06,82.49,62.60,124,Clear,No
2022-03-16,Jayanagar,Jayanagar 4th Block,39022,37.09,1.50,100.00,100.00,0,128.04,45.55,99.93,84.75,94,Fog,Yes
2022-03-16,Hebbal,Hebbal Flyover,19647,29.66,1.17,61.27,94.96,2,89.29,30.72,69.79,60.88,87,Rain,No
2022-03-16,Yeshwanthpur,Yeshwanthpur Circle,11786,58.35,1.09,36.77,56.65,0,73.57,68.11,94.12,60.99,172,Clear,No
2022-03-16,Yeshwanthpur,Tumkur Road,15183,50.69,1.08,47.33,72.26,0,80.37,79.45,86.22,77.10,108,Overcast,Yes
2022-03-17,Indiranagar,100 Feet Road,36346,34.70,1.50,100.00,100.00,2,122.69,79.27,66.31,75.82,109,Clear,No
2022-03-17,Indiranagar,CMH Road,32671,52.13,1.50,99.23,100.00,0,115.34,10.08,84.64,59.45,90,Clear,No
2022-03-17,Whitefield,Marathahalli Bridge,27755,44.16,1.50,87.62,100.00,0,105.51,39.83,97.83,60.89,92,Rain,No
2022-03-17,Koramangala,Sarjapur Road,31940,22.42,1.50,100.00,100.00,5,113.88,57.47,96.09,69.29,109,Clear,No
2022-03-17,Electronic City,Hosur Road,23764,45.47,1.05,81.10,100.00,0,97.53,47.91,75.51,55.05,108,Clear,No
2022-03-17,Electronic City,Silk Board Junction,18179,46.24,1.35,63.37,89.77,0,86.36,15.27,61.26,84.77,98,Clear,No
2022-03-17,M.G. Road,Trinity Circle,42525,30.91,1.50,100.00,100.00,4,135.05,28.27,71.15,95.47,104,Clear,No
2022-03-17,M.G. Road,Anil Kumble Circle,37102,25.08,1.50,100.00,100.00,4,124.20,14.49,81.52,85.94,91,Overcast,No
2022-03-17,Jayanagar,South End Circle,23961,27.40,1.07,73.95,100.00,2,97.92,29.96,78.20,64.53,92,Clear,No
2022-03-17,Hebbal,Ballari Road,33582,48.01,1.50,100.00,100.00,3,117.16,15.03,63.77,79.14,78,Fog,No
2022-03-18,Indiranagar,100 Feet Road,34188,49.59,1.50,100.00,100.00,2,118.38,57.79,77.09,79.58,107,Overcast,No
2022-03-18,Indiranagar,CMH Road,23926,33.70,1.10,84.84,100.00,1,97.85,22.67,91.89,72.85,95,Clear,No
2022-03-18,Whitefield,ITPL Main Road,16247,42.83,1.28,45.33,81.84,0,82.49,73.26,96.28,84.91,118,Overcast,No
2022-03-18,Koramangala,Sony World Junction,32190,20.27,1.50,100.00,100.00,1,114.38,51.21,96.93,87.40,105,Clear,No
2022-03-18,Electronic City,Hosur Road,5292,50.45,1.15,8.21,22.83,0,60.58,13.81,86.27,91.85,195,Clear,No
2022-03-18,Electronic City,Silk Board Junction,23545,31.92,1.30,79.40,100.00,2,97.09,60.24,84.45,58.93,96,Clear,No
2022-03-18,M.G. Road,Anil Kumble Circle,41019,38.05,1.50,100.00,100.00,2,132.04,78.88,78.20,67.96,94,Fog,No
2022-03-18,Jayanagar,Jayanagar 4th Block,35692,48.13,1.50,100.00,100.00,1,121.38,58.74,62.11,90.85,111,Clear,No
2022-03-18,Jayanagar,South End Circle,14725,52.49,1.02,39.13,69.64,2,79.45,45.89,65.87,77.55,183,Overcast,No
2022-03-18,Hebbal,Ballari Road,19393,36.99,1.07,62.11,96.14,0,88.79,55.96,96.75,70.03,90,Overcast,No
2022-03-18,Yeshwanthpur,Tumkur Road,21513,44.14,1.35,63.39,100.00,0,93.03,38.75,95.07,76.38,95,Overcast,No
2022-03-19,Indiranagar,100 Feet Road,24566,43.98,1.21,79.90,100.00,2,99.13,50.95,86.61,85.64,114,Clear,No
2022-03-19,Indiranagar,CMH Road,37666,54.86,1.50,100.00,100.00,3,125.33,15.88,73.58,65.54,123,Rain,No
2022-03-19,Whitefield,Marathahalli Bridge,28655,32.34,1.50,95.39,100.00,1,107.31,72.04,70.86,51.95,103,Overcast,No
2022-03-19,Koramangala,Sony World Junction,59997,46.97,1.50,100.00,100.00,0,169.99,45.45,94.84,60.67,98,Clear,No
2022-03-19,Koramangala,Sarjapur Road,48562,40.21,1.50,100.00,100.00,2,147.12,60.24,82.32,52.83,89,Clear,No
2022-03-19,Electronic City,Hosur Road,15318,33.96,1.21,45.38,80.43,0,80.64,41.11,93.98,80.79,94,Fog,No
2022-03-19,M.G. Road,Trinity Circle,50085,40.16,1.50,100.00,100.00,3,150.17,45.23,97.05,90.75,106,Clear,No
2022-03-19,M.G. Road,Anil Kumble Circle,24185,45.26,1.37,77.50,100.00,1,98.37,42.49,60.99,95.43,100,Clear,No
2022-03-19,Hebbal,Ballari Road,9851,50.05,1.00,36.62,54.06,1,69.70,22.69,82.62,81.87,210,Windy,No
2022-03-20,Indiranagar,100 Feet Road,52168,37.33,1.50,100.00,100.00,1,154.34,12.80,68.03,59.30,92,Clear,No
2022-03-20,Indiranagar,CMH Road,12426,64.88,1.18,44.11,65.41,0,74.85,54.88,98.14,91.98,197,Clear,No
2022-03-20,Koramangala,Sarjapur Road,57861,35.93,1.50,100.00,100.00,0,165.72,67.46,71.03,89.83,94,Windy,No
2022-03-20,M.G. Road,Trinity Circle,48292,51.80,1.50,100.00,100.00,7,146.58,21.88,79.36,85.09,91,Clear,No
2022-03-20,M.G. Road,Anil Kumble Circle,37416,23.73,1.50,100.00,100.00,3,124.83,33.08,78.47,60.24,94,Fog,No
2022-03-20,Jayanagar,South End Circle,36564,20.00,1.50,100.00,100.00,2,123.13,47.97,98.35,60.30,105,Clear,No
2022-03-20,Hebbal,Hebbal Flyover,10245,32.57,1.28,28.20,52.91,0,70.49,52.94,76.48,82.69,191,Clear,No
2022-03-21,Indiranagar,100 Feet Road,35484,33.53,1.50,100.00,100.00,3,120.97,32.32,62.05,69.78,90,Rain,No
2022-03-21,Indiranagar,CMH Road,23109,50.42,1.29,82.18,100.00,2,96.22,13.22,64.46,59.36,100,Clear,No
2022-03-21,Koramangala,Sarjapur Road,16696,64.90,1.34,65.57,83.56,0,83.39,23.01,60.19,75.46,102,Clear,No
2022-03-21,M.G. Road,Trinity Circle,48182,40.07,1.50,100.00,100.00,0,146.36,42.38,72.54,83.25,111,Clear,No
2022-03-21,M.G. Road,Anil Kumble Circle,45933,31.51,1.50,100.00,100.00,0,141.87,28.93,61.87,71.62,111,Rain,No
2022-03-21,Jayanagar,Jayanagar 4th Block,25978,32.74,1.50,79.56,100.00,3,101.96,50.65,79.35,86.44,98,Clear,No
2022-03-21,Jayanagar,South End Circle,8704,44.03,1.07,33.95,41.77,1,67.41,50.68,98.35,51.07,218,Clear,No
2022-03-21,Yeshwanthpur,Yeshwanthpur Circle,18850,62.39,1.34,68.26,89.90,1,87.70,49.03,98.28,93.95,97,Clear,No
2022-03-21,Yeshwanthpur,Tumkur Road,18420,58.00,1.04,61.74,89.23,0,86.84,68.48,84.63,81.69,101,Overcast,No
2022-03-22,Indiranagar,100 Feet Road,37476,23.69,1.50,100.00,100.00,1,124.95,72.13,82.66,84.08,95,Clear,No
2022-03-22,Indiranagar,CMH Road,32927,22.98,1.50,100.00,100.00,3,115.85,62.07,94.25,65.50,97,Overcast,Yes
2022-03-22,Whitefield,Marathahalli Bridge,18542,63.69,1.22,55.76,92.02,0,87.08,73.08,70.43,93.39,104,Fog,Yes
2022-03-22,Koramangala,Sarjapur Road,26933,22.36,1.50,87.22,100.00,1,103.87,69.22,92.50,73.82,112,Clear,No
2022-03-22,Hebbal,Hebbal Flyover,19040,61.29,1.18,59.64,96.27,0,88.08,53.88,66.95,53.19,95,Overcast,Yes
2022-03-22,Hebbal,Ballari Road,28149,34.74,1.50,83.98,100.00,2,106.30,28.66,73.79,82.45,114,Overcast,No
2022-03-22,Yeshwanthpur,Yeshwanthpur Circle,6193,44.23,1.38,28.22,33.51,1,62.39,68.55,87.60,93.49,213,Fog,No
2022-03-22,Yeshwanthpur,Tumkur Road,13674,48.39,1.21,43.41,72.97,0,77.35,64.50,94.22,71.78,195,Overcast,No
2022-03-23,Indiranagar,100 Feet Road,53125,20.00,1.50,100.00,100.00,3,156.25,39.45,93.31,50.96,90,Fog,No
2022-03-23,Indiranagar,CMH Road,34618,40.97,1.50,100.00,100.00,2,119.24,42.99,61.07,54.60,106,Overcast,No
2022-03-23,Whitefield,Marathahalli Bridge,24376,43.18,1.40,81.88,100.00,1,98.75,69.93,66.70,63.28,98,Clear,No
2022-03-23,Whitefield,ITPL Main Road,14059,52.40,1.26,40.15,65.85,0,78.12,75.10,82.07,89.82,193,Clear,No
2022-03-23,Electronic City,Hosur Road,20339,44.40,1.10,63.19,100.00,0,90.68,19.04,94.30,77.91,112,Clear,No
2022-03-23,Electronic City,Silk Board Junction,17349,30.03,1.12,57.04,84.26,0,84.70,66.00,93.37,65.21,99,Clear,No
2022-03-23,M.G. Road,Trinity Circle,43133,56.49,1.50,100.00,100.00,3,136.27,66.21,75.99,59.45,108,Clear,Yes
2022-03-23,M.G. Road,Anil Kumble Circle,32649,47.46,1.50,100.00,100.00,3,115.30,12.08,97.34,76.34,101,Clear,No
2022-03-23,Hebbal,Hebbal Flyover,21277,37.92,1.12,61.35,100.00,0,92.55,10.67,69.49,61.75,98,Overcast,No
2022-03-23,Hebbal,Ballari Road,29613,20.90,1.50,98.54,100.00,1,109.23,57.86,69.14,71.15,102,Clear,No
2022-03-24,Indiranagar,100 Feet Road,30316,33.40,1.50,100.00,100.00,2,110.63,12.83,95.71,99.92,89,Clear,No
2022-03-24,Indiranagar,CMH Road,46720,51.01,1.50,100.00,100.00,3,143.44,55.08,84.51,85.96,104,Rain,No
2022-03-24,Whitefield,Marathahalli Bridge,10060,58.63,1.39,30.76,49.24,0,70.12,14.94,90.91,62.48,204,Clear,No
2022-03-24,Whitefield,ITPL Main Road,15482,40.03,1.39,52.78,76.14,1,80.96,32.07,97.65,92.48,112,Fog,No
2022-03-24,Koramangala,Sony World Junction,63722,28.39,1.50,100.00,100.00,1,177.44,54.20,63.43,97.34,94,Clear,No
2022-03-24,M.G. Road,Trinity Circle,22852,48.72,1.39,82.10,100.00,1,95.70,18.54,67.57,60.58,102,Clear,Yes
2022-03-24,M.G. Road,Anil Kumble Circle,36932,28.15,1.50,100.00,100.00,3,123.86,33.82,72.73,97.83,109,Clear,No
2022-03-24,Jayanagar,South End Circle,34475,32.93,1.50,100.00,100.00,0,118.95,32.32,99.71,83.92,107,Clear,No
2022-03-24,Hebbal,Hebbal Flyover,20640,31.85,1.13,75.21,100.00,1,91.28,43.72,62.23,98.89,109,Clear,No
2022-03-24,Yeshwanthpur,Yeshwanthpur Circle,22701,51.64,1.32,83.26,100.00,3,95.40,79.69,60.55,67.76,93,Clear,No
2022-03-24,Yeshwanthpur,Tumkur Road,17783,53.32,1.10,61.85,91.54,3,85.57,73.61,92.34,94.73,99,Clear,No
2022-03-25,Indiranagar,100 Feet Road,24436,42.31,1.00,77.70,100.00,2,98.87,44.18,86.11,56.07,89,Windy,No
2022-03-25,Indiranagar,CMH Road,22399,44.82,1.01,74.04,100.00,1,94.80,79.50,75.83,81.23,99,Clear,No
2022-03-25,Whitefield,Marathahalli Bridge,13908,42.91,1.28,45.48,69.85,0,77.82,19.78,83.34,99.25,178,Overcast,Yes
